gene,log2FoldChange,pvalue,padj
GENE32,0.9261390922544689,0.3622313181014201,0.8624555192890955
GENE9,-3.034737193,0.00034081,0.004089722
GENE13,-2.679018864,0.000750874,0.007266518
GENE74,0.7823218279070031,0.16287702045466834,0.6264500786718014
GENE196,0.1926586898644184,0.9810309465212032,1
GENE95,-0.196054077,0.6479287062284994,0.9212256486661129
GENE290,2.688650240089703,9.823786345299895e-05,0.001473568
GENE138,-0.161030758,0.8500129769789233,1
GENE186,0.357000247,0.794470362,0.9848806141786189
GENE88,0.16437555482984223,0.8965859580131675,1
GENE270,0.065370289,0.17120128765578557,0.6340788431695762
GENE129,0.049825683,0.092957737,0.5362946342358458
CDKN2A,3.3310653372605232,1.6068221257818242e-05,0.001606822
GENE62,-0.092829488,0.7657092759959946,0.9733592491474508
GENE83,0.738947022,0.262416047,0.7497601331242285
GENE89,-0.264880102,0.5513160536319849,0.9188600893866414
GENE205,-0.688834684,0.18188581401693965,0.6271924621273781
GENE289,3.1404959338675162,4.103974165928346e-05,0.001119266
GENE277,0.099529848,0.6254860783890428,0.9382291175835643
GENE91,0.048538774674020194,0.12010673649862892,0.6107122194845539
GENE71,0.18069780275420697,0.060785963,0.43418544663605796
GENE295,3.1785077429825237,8.170722538772089e-05,0.001634145
GENE250,0.20249085548047777,0.47504174848228187,0.9135418240043882
GENE87,0.45770105885103707,0.091001916,0.5353053903120429
GENE61,-0.239587119,0.9867010106317273,1
GENE234,-0.325800174,0.7608467058644754,0.9754444946980454
GENE256,-0.242117036,0.3559752073040193,0.8612303402516597
GENE156,-0.357175709,0.6258659027283361,0.9341282130273674
GENE228,-0.538872389,0.12767108035142832,0.6079575254829921
GENE148,-0.660228307,0.5776601203224961,0.9217980643444087
GENE175,0.13834539966500953,0.7188757796942624,0.9500560965122411
GENE43,-0.057824141,0.38336926192447474,0.8779448746362016
GENE227,0.032140009547731385,0.6465053700163624,0.9235791000233748
GENE82,0.1785562857558732,0.8751691717799873,1
GENE178,0.7267670385786584,0.063817432,0.43511885716696247
GENE232,0.10822929479098743,0.31303376573984354,0.816609824
GENE58,-0.154606188,0.40211003971354636,0.867863395
GENE276,0.23105173713163538,0.9871894863533307,1
GENE158,0.23691646045589376,0.6881156501855639,0.9426241783363888
GENE141,0.11372996730206471,0.4440785272207819,0.8881570544415638
GENE253,1.0610780985063166,0.3057810694019119,0.8118081488546334
GENE132,0.034281487403013663,0.8200256642427413,0.9919665293258967
GENE108,0.087288906,0.22871510173757326,0.6930760658714341
GENE162,0.393542302,0.6879945358131596,0.9467814713025132
GENE215,-0.157634622,0.21048830991855633,0.671771202
GENE211,0.2854452553465835,0.6841798515949759,0.9458707625736993
GENE241,-0.396260369,0.48940798032649047,0.9007508840364856
GENE20,-3.506151851,0.000895524,0.007261008
GENE94,-0.163831073,0.5469429519616413,0.9166641652988402
GENE142,0.653571377,0.3097367183341709,0.8150966271951865
GENE287,2.9241074524822084,8.023466542789655e-06,0.00240704
GENE212,0.5677828200902995,0.21370387764154836,0.6748543504469948
GENE192,0.42819939716173616,0.9302582439034197,1
GENE217,-0.386412607,0.2181599600629095,0.6817498751965921
GENE133,-0.531151857,0.9879123228491973,0.9978912352012095
GENE229,-0.357651855,0.8798996929014383,1
GENE65,0.406262911,0.7882895701310649,0.9812733238146036
GENE24,-0.712374093,0.1367223429468269,0.5859528983435438
GENE214,0.325695626,0.088825185,0.5329511127189296
GENE225,-0.235965933,0.087346533,0.5347746909125143
GENE177,0.006500946,0.17955290180743128,0.6263473318863881
GENE90,0.25663371655667805,0.9933165563133353,0.9999831103825523
GENE63,-0.553167487,0.40744660625436996,0.8608026892697958
GENE188,-0.036414456,0.6409823652164799,0.9244937959853075
GENE19,-3.254012038,0.000320056,0.004000705
GENE233,0.022785919951906892,0.8158912158034083,0.990960991
GENE170,-0.376868082,0.43330872290177713,0.8724336702720346
GENE254,0.5162326302755734,0.4084199549493915,0.8508749061445656
GENE259,0.22190971407311422,0.16377402522828866,0.6219266780821089
GENE248,-0.326664616,0.5555078110020499,0.9207311784564363
GENE221,1.1573292833367543,0.24601703248550288,0.7307436608480284
GENE239,-0.330893232,0.6373420329537812,0.9326956579811432
GENE110,-0.037222958,0.3856846166247502,0.8765559468744322
GENE246,-0.167250618,0.9004464958028394,1
GENE147,-0.618475355,0.9968049952202102,1
GENE180,1.3600845832948094,0.6104218025119015,0.9295763490028957
VEGFA,3.056758672625624,2.459584824267798e-05,0.001054108
GENE37,0.1044317975023777,0.13664579789625586,0.5941121647663299
GENE47,-0.230319385,0.63730716,0.9372164119859528
GENE171,-0.444757215,0.1773144670281087,0.6258157659815602
GENE70,-0.322559877,0.5179938490763162,0.9087611387303792
GENE117,-0.017355885,0.34405123547201133,0.8460276282098639
GENE80,-0.993784457,0.40612705054751885,0.8641001075479124
GENE166,0.20639046346824916,0.8595724253026131,1
GENE230,0.3397988744673379,0.9248287805052225,1
GENE131,-0.775331716,0.40764019853414707,0.8551892276940148
GENE189,-0.423396859,0.869245523,1
GENE280,-0.192656798,0.19521618222511544,0.6365745072558112
GENE202,0.2803922631841172,0.17243573581511676,0.6232616957172895
GENE27,-0.575496789,0.9530767895906783,1
GENE288,3.2941586032422885,5.2451186505886516e-05,0.00131128
GENE81,-0.109835944,0.3214264819677677,0.8035662049194191
GENE257,0.6334555745933114,0.25087560664671743,0.7307056504273323
GENE11,-3.031708846,0.000858414,0.007153451
GENE51,0.1620419846973975,0.11912485604598386,0.6161630485137096
GENE197,-0.441928718,0.5179871892932261,0.9140950399292225
GENE77,0.043523534,0.7587426353021521,0.9811327180631279
GENE55,0.5154997612479755,0.1305958283809323,0.5936174017315105
GENE291,2.8959388748213626,1.1203979012915019e-05,0.001680597
GENE31,-0.300853306,0.3285502331131613,0.8145873548260196
GENE100,-0.117293567,0.9061001099664395,1
GENE92,0.4843224952664446,0.5761615701812548,0.9243233746223338
GENE85,-0.404246801,0.061546750955325524,0.42939593689761996
GENE157,0.9328872555723783,0.26721066522828957,0.7562565997027063
GENE275,-0.490754326,0.3882918896029539,0.875846368
GENE219,-0.242681774,0.16460407754557077,0.6172652907958904
GENE299,3.406431059,9.293760597515967e-05,0.00154896
GENE42,0.085684141,0.8933189736203848,1
GENE242,-0.057368221,0.7600973912270688,0.9786661689618912
GENE10,-2.528719978,0.000930758,0.007159677
GENE160,0.32827680431691486,0.39025458213119846,0.8737042883534294
GENE73,-0.01791302,0.10348811189774548,0.5749339549874749
GENE144,0.092316929,0.8714862574423006,1
GENE184,0.24123620762159265,0.3808426936721353,0.8856806829584543
GENE17,-3.30641556,0.000505257,0.0052268
GENE266,-0.623891591,0.5602512147276204,0.9134530674906854
GENE109,0.12877519536138218,0.490513485,0.897280765
GENE67,-0.036005061,0.45301090878462746,0.8941004778643964
GENE35,0.4112724560515945,0.8020000915395561,0.9820409284157829
GENE159,-0.595651749,0.6372218284350011,0.9417071356182283
GENE14,-3.756640122,0.000754545,0.007073862
GENE8,-2.416282635,0.000776415,0.00705832
GENE208,0.2568929754561044,0.378383919,0.8868373105257891
GENE167,0.41103008,0.5743114968357613,0.9263088658641311
GENE60,0.4877725635611796,0.9498861485146658,1
GENE23,0.033764102,0.9101128775983005,1
GENE187,0.23661881228677242,0.4267156432052066,0.8649641416321756
GENE127,-0.495268163,0.9360920591863126,1
GENE163,0.57929779,0.5442923158586036,0.9173465997616914
GENE213,0.47700088174660116,0.2326745678682372,0.6980237036047116
GENE261,-0.463465236,0.6139128308763463,0.930170956
GENE36,-0.610421825,0.8001372356548262,0.9837752897395404
GENE107,0.9430929506052651,0.313512124,0.8108072168070931
GENE260,0.3873170267146684,0.8960009167029002,1
GENE249,0.8827271201405484,0.15181341077278726,0.6238907292032353
GENE7,-2.010393592,0.000372024,0.004292589
GENE140,-0.615432158,0.49525850180522174,0.8950454851901598
GENE93,-0.351026547,0.9708374088381441,1
GENE247,-0.237472656,0.5360935700098828,0.9190175485883705
GENE137,-0.391626646,0.971418678,1
GENE5,-2.917076687,0.000990505,0.007428789
GENE111,-0.959385608,0.6044733062583285,0.9347525354510234
GENE191,-0.223257476,0.18971980688258605,0.639504967
GENE48,0.5285611131094579,0.14606654231665073,0.6171825731689468
GENE45,-0.739260995,0.18584209795019407,0.6335526066483889
GENE263,-1.62063367,0.7997126766769714,0.9872996008357672
GENE150,0.14849233661659303,0.9475274433883066,1
GENE29,-0.300319345,0.6502453515613094,0.9201585163603434
GENE292,2.753499532670584,3.9785620119014264e-05,0.001193569
GENE267,0.8162056519658176,0.6074990621198352,0.9298455032446457
GENE52,-0.19254114,0.8307670563258384,0.9890084003879028
GENE78,-0.149503675,0.6042003268423016,0.939171493
GENE102,-0.210322661,0.3169150301126188,0.8057161782524206
GENE243,0.25249363949022857,0.084849043,0.530306517
GENE264,-0.512193821,0.5235200889826044,0.9078383045941116
